player,xg,goals,attempts
Tyler Adams,0.7858493839443723,2,8
Joachim Andersen,0.7747468985573963,0,6
Virgil van Dijk,0.7738787469010593,0,10
Sean Longstaff,0.7650288484188001,1,11
Adam Wharton,0.759780850466868,0,13
Anthony Elanga,0.7516414244837089,0,9
Joël Piroe,0.7380819249077651,0,7
El Hadji Malick Diouf,0.7253819600718742,0,12
Malo Gusto,0.7174391527640436,2,7
Ethan Ampadu,0.7082904392099115,1,9
James Tarkowski,0.708095952023988,0,3
Granit Xhaka,0.7039251748632933,1,10
Jack Hinshelwood,0.7019882915685014,1,5
Max Kilman,0.6975531841922177,0,5
Keane Lewis-Potter,0.6929028348928223,2,9
Jake O'Brien,0.6861425729712175,0,6
Dan Ndoye,0.6779866668836707,1,9
Ibrahima Konaté,0.6777150640366092,0,7
Djed Spence,0.6670058711119354,0,5
Trai Hume,0.6617797301754099,0,9
Lewis Miley,0.6590345666481209,1,8
Andrey Santos,0.6549087784017878,0,7
Tyrique George,0.6539328375028173,0,3
Loum Tchaouna,0.6507680392110456,1,9
Calvin Bassey,0.6483345728053788,1,5
Rúben Dias,0.6481042957870251,2,7
Thiago (pen),0.6463111319777455,5,6
Kevin,0.6449625827342431,0,9
Nicolás González,0.633741659555609,1,10
Diogo Dalot,0.6321024927669665,1,7
Fabian Schär,0.6223150199342432,0,11
Jamie Gittens,0.6149674000352198,0,9
Eliezer Mayenda,0.6089798238135834,1,4
Matt O'Riley,0.6079126686135448,0,3
Wilfried Gnonto,0.6077251845104568,0,6
Santiago Bueno,0.6071428571428571,1,2
Marcus Edwards,0.605781381316017,0,4
Ross Barkley,0.605781381316017,1,4
Tom Cairney,0.6039838107135631,0,6
Mathys Tel,0.6028187523438584,2,6
Jefferson Lerma,0.6020841268977526,0,7
João Gomes,0.590877764180878,0,8
Jordan Henderson,0.5885249389928318,1,6
Lewis Hall,0.5849049147873766,0,6
Bruno Fernandes (pen),0.5824484071328391,2,4
Curtis Jones,0.57515672935841,0,8
Adama Traoré,0.5691716466696624,0,5
Enes Ünal,0.5632281898266553,1,3
Tyrone Mings,0.5632281898266553,0,3
Fabio Carvalho,0.5612244897959183,1,2
Brennan Johnson,0.551230640963775,2,6
Pau Torres,0.550326797385621,0,3
Joshua Acheampong,0.5436203466894004,1,3
Marcos Senesi,0.5435291323883323,0,6
Chris Richards,0.5433900696710469,0,5
Yehor Yarmoliuk,0.5387562704220842,0,8
Tyrick Mitchell,0.5196472392055274,1,5
Quilindschy Hartman,0.4975089634990598,0,6
Aaron Hickey,0.4796814015778659,0,4
Tosin Adarabioyo,0.4782608695652174,0,2
Ian Maatsen,0.4767673464426668,0,6
Florentino Luís,0.474563615146953,0,5
Chris Rigg,0.4744245524296675,0,4
Carlos Baleba,0.47301189979537916,0,10
Álex Jiménez,0.4682234595966046,0,7
Amadou Onana,0.4549557720096981,2,5
Bernardo Silva,0.45481670929241264,0,4
Adrien Truffert,0.45472549499134457,0,7
Jean-Philippe Mateta (pen),0.44627329192546583,3,3
Habib Diarra,0.44364696233103174,0,6
Yerson Mosquera,0.43520886615515775,0,4
Merlin Röhl,0.43201042365759135,0,4
Murillo,0.43201042365759135,1,4
Oscar Bobb,0.42582221151160554,0,4
Leny Yoro,0.4240977550440466,0,3
Jack Harrison,0.4231025743630786,0,6
Ethan Nwaneri,0.4076297185540883,0,6
Arnaud Kalimuendo,0.40448991190679173,0,3
Hannibal Mejbri,0.4038005273031198,0,6
Matheus Nunes,0.3905271636869364,1,4
Ezri Konsa,0.38945723216822964,0,3
Taiwo Awoniyi,0.3894572321682296,0,3
André,0.3854613075572505,0,5
Fer López,0.3769107643057223,0,5
Boubacar Kamara,0.3685947497278481,1,5
Max Dowman,0.3657144017027101,0,3
Mathias Jensen,0.36267457337544945,2,5
Harry Maguire,0.36107569464567435,1,4
